number,available_bikes,available_bike_stands,last_update
3,8,12,"2025-02-22 18:34:24"
3,9,11,"2025-02-22 18:44:27"
3,8,12,"2025-02-22 19:06:51"
3,9,11,"2025-02-22 19:31:53"
3,10,10,"2025-02-22 19:34:53"
3,17,3,"2025-02-22 20:05:01"
4,15,5,"2025-02-18 10:33:11"
4,16,4,"2025-02-18 10:57:38"
4,16,4,"2025-02-18 11:13:35"
4,14,6,"2025-02-18 12:24:21"
4,10,10,"2025-02-18 12:54:42"
4,11,9,"2025-02-18 13:14:53"
4,11,9,"2025-02-18 13:24:58"
4,3,17,"2025-02-18 19:28:45"
4,5,15,"2025-02-18 19:46:11"
4,15,5,"2025-02-22 07:59:09"
4,15,5,"2025-02-22 08:01:35"
4,15,5,"2025-02-22 08:11:40"
4,15,5,"2025-02-22 09:02:10"
4,16,4,"2025-02-22 09:12:18"
4,17,3,"2025-02-22 09:30:27"
4,17,3,"2025-02-22 09:42:36"
4,17,3,"2025-02-22 09:52:41"
4,17,3,"2025-02-22 10:22:58"
4,16,4,"2025-02-22 10:43:12"
4,16,4,"2025-02-22 10:53:18"
4,16,4,"2025-02-22 11:03:23"
4,14,6,"2025-02-22 11:23:37"
4,14,6,"2025-02-22 11:33:43"
4,13,7,"2025-02-22 11:58:36"
4,13,7,"2025-02-22 12:14:05"
4,13,7,"2025-02-22 12:34:16"
4,14,6,"2025-02-22 12:54:27"
4,15,5,"2025-02-22 13:20:13"
4,13,7,"2025-02-22 13:34:52"
4,13,7,"2025-02-22 13:44:58"
4,14,6,"2025-02-22 14:20:04"
4,16,4,"2025-02-22 14:45:30"
4,15,5,"2025-02-22 14:55:38"
4,15,5,"2025-02-22 15:05:44"
4,15,5,"2025-02-22 15:15:49"
4,15,5,"2025-02-22 15:25:55"
4,13,7,"2025-02-22 15:46:23"
4,14,6,"2025-02-22 15:56:15"
4,13,7,"2025-02-22 16:16:28"
4,13,7,"2025-02-22 16:36:39"
4,13,7,"2025-02-22 16:56:49"
4,13,7,"2025-02-22 17:06:55"
4,13,7,"2025-02-22 17:17:01"
4,14,6,"2025-02-22 17:47:17"
4,15,5,"2025-02-22 18:00:22"
4,15,5,"2025-02-22 18:07:29"
